st	accession	sp	gn
Thioalkalivibrio_paradoxus_ARh_1	GCF_000227685.2	Thioalkalivibrio paradoxus	Thioalkalivibrio
Thiobacillus_thioparus_DSM_505	GCF_000373385.1	Thiobacillus thioparus	Thiobacillus
Thiocapsa_marina_5811	GCF_000223985.1	Thiocapsa marina	Thiocapsa
Thioclava_marina	GCF_002020135.1	Thioclava marina	Thioclava
Thiocystis_violascens_DSM_198	GCF_000227745.2	Thiocystis violascens	Thiocystis
Thiofilum_flexile_DSM_14609	GCF_000380185.1	Thiofilum flexile	Thiofilum
Thioflavicoccus_mobilis_8321	GCF_000327045.1	Thioflavicoccus mobilis	Thioflavicoccus
Thioflexothrix_psekupsii	GCF_002149925.1	Thioflexothrix psekupsii	Thioflexothrix
Thiohalobacter_thiocyanaticus	GCF_003932505.1	Thiohalobacter thiocyanaticus	Thiohalobacter
Thiohalocapsa_sp._ML1	GCF_001469165.1	Thiohalocapsa sp.	Thiohalocapsa
Thiohalomonas_denitrificans	GCF_900102855.1	Thiohalomonas denitrificans	Thiohalomonas
Thiohalorhabdus_denitrificans	GCF_001399755.1	Thiohalorhabdus denitrificans	Thiohalorhabdus
Thiohalospira_halophila_DSM_15071	GCF_900112605.1	Thiohalospira halophila	Thiohalospira
Thiolapillus_brandeum	GCF_000828615.1	Thiolapillus brandeum	Thiolapillus
Thiolinea_disciformis_DSM_14473	GCF_000371925.1	Thiolinea disciformis	Thiolinea
